id,latitude,longitude
B001,40.7286656,-73.9582337
B001,40.72902109,-73.95827729
B001,40.72908636,-73.95760587
B001,40.72849899,-73.95790787
B002,40.62935602,-73.93871185
B002,40.62886021,-73.93866171
B002,40.62868362,-73.93864354
B002,40.62858975,-73.93863389
B002,40.62834709,-73.93860835
B002,40.62799843,-73.93857021
B002,40.62763107,-73.93854435
B002,40.62755551,-73.93921821
B002,40.62760042,-73.93926889
B002,40.62864316,-73.93938605
B002,40.62965885,-73.93949792
B002,40.62971183,-73.939453
B002,40.62973569,-73.93878374
B002,40.6293957,-73.93871686
B007,40.59434984,-74.00192021
B007,40.59439352,-74.00200575
B007,40.59435252,-74.00206401
B007,40.59436198,-74.00214454
B007,40.59491882,-74.0024932
B007,40.59548683,-74.00297169
B007,40.59596607,-74.00349816
B007,40.59639069,-74.00305735
B007,40.59648712,-74.00286062
B007,40.59642316,-74.00267069
B007,40.59636256,-74.00249073
B007,40.59628268,-74.00224513
B007,40.59620618,-74.00200146
B007,40.59579266,-74.00076175
B007,40.59576596,-74.00070348
B007,40.59573485,-74.00066285
B007,40.59570546,-74.00066611
B007,40.59559101,-74.00064355
B007,40.59552267,-74.00067165
B007,40.59548683,-74.00070601
B007,40.59545748,-74.00074969
B007,40.59543888,-74.00083902
B007,40.59529693,-74.0009912
B007,40.59512049,-74.00117597
B007,40.59475589,-74.00155777
B007,40.59447784,-74.00184247
B007,40.59790028,-73.99963227
B007,40.5978627,-73.99957847
B007,40.59779548,-73.9994882
B007,40.59759594,-73.99927366
B007,40.59722344,-73.99891797
B007,40.59688559,-73.9992725
B007,40.59666554,-73.99951495
B007,40.59661493,-73.99956221
B007,40.596559,-73.99962132
B007,40.59652407,-73.99971499
B007,40.59649928,-73.99979495
B007,40.59646215,-73.99996048
B007,40.59644732,-74.00009842
B007,40.59644557,-74.00019465
B007,40.59645701,-74.00056891
B007,40.59649267,-74.00102839
B007,40.59653619,-74.00138012
B007,40.5965629,-74.00156655
B007,40.59663745,-74.00200065
B007,40.59675081,-74.00250656
B007,40.5968225,-74.00277189
B007,40.59696701,-74.00266435
B007,40.59697033,-74.00262464
B007,40.596978,-74.00258112
B007,40.59699916,-74.00252349
B007,40.59702018,-74.00248411
B007,40.59705643,-74.00243032
B007,40.59710308,-74.00237894
B007,40.59759916,-74.00179012
B007,40.59772086,-74.00166989
B007,40.59807603,-74.00130447
B007,40.59823987,-74.00114181
B007,40.59813733,-74.00091915
B007,40.59827567,-74.00018417
B007,40.59824934,-74.00014565
B007,40.5981001,-73.99992733
B008,40.66379835,-73.91195086
B008,40.66511325,-73.91236714
B008,40.66517556,-73.91221932
B008,40.66523618,-73.91179397
B008,40.66512567,-73.91159537
B008,40.66474096,-73.91149831
B008,40.66432576,-73.91139586
B008,40.66393692,-73.9113158
B008,40.66306125,-73.91211167
B008,40.66237928,-73.91195726
B008,40.66236071,-73.91459477
B008,40.66309048,-73.91479318
B008,40.66323448,-73.91458596
B008,40.66321778,-73.91453982
B008,40.66333911,-73.91371402
B008,40.66278733,-73.91446347
B008,40.66273452,-73.91431967
B008,40.66275393,-73.9141641
B008,40.66284351,-73.91404773
B008,40.66297081,-73.91402834
B008,40.66307968,-73.91411712
B008,40.66231601,-73.9134803
B008,40.66267695,-73.91323888
B008,40.66268865,-73.9134454
B008,40.66259988,-73.91361656
B008,40.66247904,-73.91365147
B008,40.66236665,-73.91358353
B010,40.67075448,-73.96495387
B010,40.67005561,-73.96518372
B010,40.66979718,-73.96459556
B010,40.66963901,-73.96395122
B010,40.66958795,-73.96307313
B010,40.66959355,-73.96292474
B010,40.66960606,-73.96280783
B010,40.66962112,-73.96266709
B010,40.66965455,-73.9624608
B010,40.66966973,-73.96237933
B010,40.66942197,-73.96227409
B010,40.66892759,-73.96219142
B010,40.66842478,-73.96209574
B010,40.6679247,-73.96200131
B010,40.66757775,-73.9619347
B010,40.66713039,-73.9618341
B010,40.66668371,-73.96174509
B010,40.66608358,-73.96162738
B010,40.66568893,-73.9615525
B010,40.66513762,-73.96144126
B010,40.66483282,-73.96138537
B010,40.66475602,-73.96137177
B010,40.66333961,-73.96215689
B010,40.66347521,-73.96245102
B010,40.66382989,-73.96268554
B010,40.6646631,-73.96326927
B010,40.66503506,-73.96352471
B010,40.6655062,-73.96385401
B010,40.66610401,-73.96425978
B010,40.66652626,-73.96455366
B010,40.66695882,-73.96484842
B010,40.66751341,-73.96523919
B010,40.66772816,-73.96539285
B010,40.66780296,-73.9654466
B010,40.6682758,-73.96578971
B010,40.66878632,-73.96615786
B010,40.66923254,-73.96648194
B010,40.67004905,-73.96707614
B010,40.6707047,-73.96755254
B010,40.67053109,-73.96610055
B010,40.67049746,-73.965948
B010,40.6705953,-73.96591524
B010,40.67104771,-73.96574341
B010,40.67127769,-73.96565606
B010,40.67165842,-73.96551145
B010,40.67170831,-73.9654925
B010,40.67207973,-73.96535143
B010,40.67213351,-73.965331
B010,40.67219237,-73.96527254
B010,40.67207696,-73.96492455
B010,40.67197011,-73.96459765
B010,40.67167235,-73.96465198
B010,40.67158715,-73.96468739
B010,40.67124624,-73.96481881
B010,40.67108499,-73.96487185
B010,40.67085471,-73.96494589
B010,40.67081706,-73.96494679
B010,40.670784,-73.96494416
B010,40.67077338,-73.96494765
B012,40.67308854,-73.94195907
B012,40.6731245,-73.94271993
B012,40.67313266,-73.94286863
B012,40.67316376,-73.94345312
B012,40.67318672,-73.94389644
B012,40.67321753,-73.94445168
B012,40.67392353,-73.94444327
B012,40.67400559,-73.94443772
B012,40.67408044,-73.94443174
B012,40.67475131,-73.9443606
B012,40.67475944,-73.94357496
B012,40.67474195,-73.94328828
B012,40.67472441,-73.94301489
B012,40.67384839,-73.94298758
B012,40.67377231,-73.94189732
B012,40.67339919,-73.94192757
B016,40.70222494,-73.92416076
B016,40.70277484,-73.92511957
B016,40.70282981,-73.92521701
B016,40.70293114,-73.92514187
B016,40.70360514,-73.92448305
B016,40.70425272,-73.92384366
B016,40.70418041,-73.92365893
B016,40.70370772,-73.92282474
B016,40.70348156,-73.92252045
B016,40.70305472,-73.92294128
B016,40.70255842,-73.92342544
B016,40.70212097,-73.92384842
B016,40.70210685,-73.92391887
B017,40.69605616,-73.91119548
B017,40.69586877,-73.91123723
B017,40.69571245,-73.91138958
B017,40.6954425,-73.91164837
B017,40.69544887,-73.91166771
B017,40.69547261,-73.91175529
B017,40.6957608,-73.91226442
B017,40.69569279,-73.91233114
B017,40.69560254,-73.91250554
B017,40.69561122,-73.91255983
B017,40.69582111,-73.91293161
B017,40.69637251,-73.91284173
B017,40.69646583,-73.9127414
B017,40.69643351,-73.91268407
B017,40.69640854,-73.91182053
B018,40.62859126,-73.89190502
B018,40.62885376,-73.8903438
B018,40.6289005,-73.8900904
B018,40.62892419,-73.89003677
B018,40.62952314,-73.88912671
B018,40.62989418,-73.88878265
B018,40.62841777,-73.89015909
B018,40.62601806,-73.89415814
B018,40.62434815,-73.89623496
B018,40.6233983,-73.89735602
B018,40.62364597,-73.89791091
B018,40.62379232,-73.89823354
B018,40.62383192,-73.89832741
B018,40.6239708,-73.89865311
B018,40.62404319,-73.898823
B018,40.62411498,-73.89896732
B018,40.62419701,-73.89913121
B018,40.62432208,-73.89940758
B018,40.62440733,-73.89959003
B018,40.62455327,-73.89991487
B018,40.62464728,-73.90012007
B018,40.62474667,-73.9003548
B018,40.6248758,-73.90064549
B018,40.62497421,-73.90086619
B018,40.62505123,-73.90103199
B018,40.62516035,-73.9012892
B018,40.62519466,-73.90139359
B018,40.62521777,-73.90141193
B018,40.62563027,-73.90115703
B018,40.62565816,-73.90112576
B018,40.62566044,-73.90110913
B018,40.62566518,-73.90108905
B018,40.62567193,-73.90106999
B018,40.62568055,-73.90105228
B018,40.62569091,-73.90103625
B018,40.62574514,-73.90098908
B018,40.625916,-73.90085574
B018,40.62604232,-73.90076138
B018,40.62615633,-73.90065012
B018,40.62613998,-73.90060525
B018,40.62633535,-73.90045419
B018,40.62667137,-73.90019458
B018,40.62717167,-73.89961634
B018,40.62738341,-73.89928811
B018,40.62776594,-73.89875634
B018,40.62798105,-73.89842599
B018,40.6284273,-73.89773222
B018,40.62865215,-73.89738325
B018,40.62910101,-73.89668837
B018,40.62951572,-73.89604672
B018,40.62991657,-73.89541892
B018,40.63073158,-73.89411296
B018,40.63075523,-73.89407642
B018,40.63164079,-73.89270768
B018,40.631604,-73.89254119
B018,40.6308601,-73.89101084
B018,40.63082019,-73.89099718
B018,40.63034265,-73.89138826
B018,40.63028063,-73.89141242
B018,40.62954397,-73.89202904
B018,40.6291436,-73.89236202
B018,40.62911244,-73.89237308
B018,40.62891409,-73.89231038
B018,40.62860628,-73.8922055
B018,40.62858358,-73.89218544
B018,40.62856713,-73.89215671
B018,40.62855877,-73.8921225
B018,40.63363292,-73.88294491
B018,40.63378658,-73.88311466
B018,40.63394468,-73.88329163
B018,40.63405812,-73.88341723
B018,40.63420291,-73.88357905
B018,40.63435068,-73.88374442
B018,40.63450082,-73.88391096
B018,40.634656,-73.88408357
B018,40.63480983,-73.88425559
B018,40.63495743,-73.88441838
B018,40.63511238,-73.88459091
B018,40.63526667,-73.88476444
B018,40.63539234,-73.88490226
B018,40.63551734,-73.88504241
B018,40.63567168,-73.8852152
B018,40.63583151,-73.88539345
B018,40.6359867,-73.88556917
B018,40.63610309,-73.88570097
B018,40.63614936,-73.88574652
B018,40.6361528,-73.8857485
B018,40.6361564,-73.88574984
B018,40.63616011,-73.88575054
B018,40.63616387,-73.88575057
B018,40.63616759,-73.88574994
B018,40.6361712,-73.88574865
B018,40.63617466,-73.88574673
B018,40.63619649,-73.88572249
B018,40.63625089,-73.88564151
B018,40.63633495,-73.88551198
B018,40.63636399,-73.88546638
B018,40.63647734,-73.88528771
B018,40.63657849,-73.88513853
B018,40.63668375,-73.88497618
B018,40.63678064,-73.88482774
B018,40.63690309,-73.88463759
B018,40.63699822,-73.88448696
B018,40.63710542,-73.88431474
B018,40.63720667,-73.88415737
B018,40.63733763,-73.88395525
B018,40.63745782,-73.8837738
B018,40.63754722,-73.88363962
B018,40.63763537,-73.88350335
B018,40.63774437,-73.88332471
B018,40.63787392,-73.88312501
B018,40.63800587,-73.8829236
B018,40.63813564,-73.88272495
B018,40.63825644,-73.88253631
B018,40.63838122,-73.88234575
B018,40.6385068,-73.88215251
B018,40.63860278,-73.88200155
B018,40.6387296,-73.88180323
B018,40.63884935,-73.8816193
B018,40.6389414,-73.88148234
B018,40.63903127,-73.88134491
B018,40.6391229,-73.88120179
B018,40.63935431,-73.88088384
B018,40.63939846,-73.88083298
B018,40.63947855,-73.8806985
B018,40.63934832,-73.88061119
B018,40.63919034,-73.88054089
B018,40.63876737,-73.88016704
B018,40.63856776,-73.87995862
B018,40.63836294,-73.8797143
B018,40.63822846,-73.87959363
B018,40.638179,-73.8795165
B018,40.63817278,-73.87942321
B018,40.63606867,-73.8806489
B018,40.63390832,-73.88250658
B019,40.68064493,-73.99477245
B019,40.68069486,-73.99496438
B019,40.68079363,-73.9953135
B019,40.68083677,-73.99546813
B019,40.68105605,-73.99626131
B019,40.681076,-73.99632414
B019,40.68109479,-73.99634943
B019,40.68111896,-73.99636494
B019,40.68114568,-73.99636885
B019,40.68134313,-73.99627784
B019,40.68157698,-73.99616277
B019,40.68159325,-73.99613797
B019,40.68160001,-73.996115
B019,40.68160066,-73.99608227
B019,40.68133482,-73.99538608
B019,40.68126339,-73.99520049
B019,40.68108592,-73.99473932
B019,40.68101274,-73.99454892
B019,40.68099496,-73.99452274
B019,40.68097168,-73.9945055
B019,40.68094541,-73.99449906
B019,40.68091896,-73.99450411
B019,40.68089426,-73.99451919
B019,40.6807106,-73.99464399
B019,40.68067735,-73.99466842
B019,40.68066181,-73.99469053
B019,40.68064879,-73.99472488
B021,40.69650942,-73.97746662
B021,40.69647406,-73.97764916
